# epoch	train_loss	dev_loss	dev_f1	best_dev_f1
1	0.046144	0.013689	91.5435	91.54
2	0.014890	0.008571	93.6950	93.69
3	0.010862	0.007387	94.0390	94.04
4	0.009652	0.007536	93.8613	94.04
5	0.009212	0.006390	94.4693	94.47
6	0.007417	0.006359	94.5275	94.53
7	0.006857	0.005844	95.5459	95.55
8	0.006129	0.005166	95.6828	95.68
9	0.005812	0.005316	95.4460	95.68
10	0.005581	0.004877	95.9248	95.92
11	0.005296	0.005257	95.7359	95.92
12	0.004780	0.004952	96.0329	96.03
13	0.004575	0.004973	96.2807	96.28
14	0.004289	0.004933	96.2311	96.28
15	0.004247	0.004704	96.2215	96.28
16	0.003993	0.005092	96.2911	96.29
17	0.003735	0.004663	96.5372	96.54
18	0.003574	0.005343	96.3511	96.54
19	0.003422	0.005069	96.1787	96.54
20	0.003516	0.004869	96.2432	96.54
21	0.003237	0.004790	96.2928	96.54
22	0.003307	0.005111	96.4198	96.54
23	0.002918	0.005039	96.3971	96.54
24	0.002863	0.004810	96.4562	96.54
25	0.002849	0.004835	96.4101	96.54
26	0.002611	0.004950	96.4441	96.54
27	0.002552	0.004833	96.5744	96.57
28	0.002447	0.004866	96.5622	96.57
29	0.002319	0.005194	96.4805	96.57
30	0.002443	0.004884	96.5161	96.57
31	0.002379	0.005376	96.2911	96.57
32	0.002244	0.005102	96.3867	96.57
33	0.002149	0.005266	96.5032	96.57
34	0.002405	0.005246	96.5226	96.57
35	0.002485	0.005181	96.4918	96.57
36	0.002022	0.005096	96.6932	96.69
37	0.002151	0.005173	96.2694	96.69
38	0.001985	0.005240	96.5986	96.69
39	0.001917	0.005394	96.5889	96.69
40	0.001939	0.005540	96.5849	96.69
41	0.001679	0.005850	96.0789	96.69
42	0.001771	0.005317	96.5849	96.69
43	0.001659	0.005817	96.5169	96.69
44	0.001658	0.005851	96.4416	96.69
45	0.001517	0.005905	96.4198	96.69
46	0.001487	0.005747	96.4676	96.69
47	0.001466	0.005996	96.4005	96.69
48	0.001401	0.005907	96.4085	96.69
49	0.001476	0.005789	96.3519	96.69
50	0.001457	0.005812	96.4059	96.69
51	0.001513	0.005980	96.3971	96.69
52	0.001455	0.005969	96.3632	96.69
53	0.001331	0.005702	96.4571	96.69
54	0.001299	0.005705	96.4571	96.69
55	0.001336	0.005886	96.4076	96.69
56	0.001214	0.005891	96.4910	96.69
57	0.001068	0.005958	96.5266	96.69
58	0.001102	0.005751	96.5420	96.69
59	0.001149	0.006052	96.4943	96.69
60	0.001030	0.006188	96.5048	96.69
61	0.001063	0.005944	96.6925	96.69
62	0.001179	0.006085	96.4562	96.69
63	0.001259	0.006064	96.6577	96.69
64	0.001069	0.006115	96.5630	96.69
65	0.001037	0.006165	96.5023	96.69
66	0.000975	0.006291	96.5032	96.69
67	0.001057	0.006295	96.6553	96.69
68	0.000980	0.006208	96.5388	96.69
69	0.000951	0.006359	96.5962	96.69
70	0.000904	0.006365	96.6311	96.69
71	0.000838	0.006345	96.5962	96.69
72	0.000874	0.006378	96.6326	96.69
73	0.000829	0.006441	96.4797	96.69
74	0.000827	0.006275	96.6448	96.69
75	0.000831	0.006350	96.5015	96.69
76	0.000801	0.006351	96.5970	96.69
77	0.000839	0.006282	96.6311	96.69
78	0.000849	0.006356	96.5606	96.69
79	0.000813	0.006304	96.6440	96.69
80	0.000808	0.006402	96.4797	96.69
81	0.000809	0.006443	96.5493	96.69
82	0.000808	0.006374	96.5501	96.69
83	0.000776	0.006440	96.5841	96.69
84	0.000721	0.006352	96.5849	96.69
85	0.000841	0.006370	96.5501	96.69
86	0.000828	0.006435	96.5266	96.69
87	0.000703	0.006314	96.6319	96.69
88	0.000699	0.006430	96.5614	96.69
89	0.000777	0.006380	96.6788	96.69
90	0.000747	0.006434	96.6319	96.69
91	0.000668	0.006479	96.5501	96.69
92	0.000726	0.006367	96.6901	96.69
93	0.000764	0.006391	96.6909	96.69
94	0.000717	0.006455	96.6788	96.69
95	0.000741	0.006382	96.7613	96.76
96	0.000729	0.006469	96.6788	96.76
97	0.000704	0.006480	96.6311	96.76
98	0.000678	0.006486	96.5841	96.76
99	0.000624	0.006516	96.6545	96.76
100	0.000648	0.006523	96.5614	96.76
